Document_ID,Status,In_SAP,In_PDF,Is_Duplicate,File_Path
26100585,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100585.pdf
26100588,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100588.pdf
26100589,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100589.pdf
26100590,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100590.pdf
26100592,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100592.pdf
26100593,UNTRACKED_DUPLICATE_PDF,NO,YES,YES,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100593..pdf; \\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100593.pdf
26100594,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100594.pdf
26100596,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100596.pdf
26100600,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100600.pdf
26100601,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100601.pdf
26100603,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100603.pdf
26100604,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100604.pdf
26100605,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100605.pdf
26100607,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100607.pdf
26100608,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100608.pdf
26100619,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100619.pdf
26100633,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100633.pdf
26100634,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100634.pdf
26100637,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100637.pdf
26100638,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100638.pdf
26100639,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100639.pdf
26100649,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100649.pdf
26100650,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100650.pdf
26100653,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100653.pdf
26100654,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100654.pdf
26100655,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100655.pdf
26100656,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100656.pdf
26100666,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100666.pdf
26100667,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100667.pdf
26100670,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100670.pdf
26100672,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100672.pdf
26100673,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100673.pdf
26100676,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100676.pdf
26100677,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100677.pdf
26100679,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100679.pdf
26100680,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100680.pdf
26100681,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100681.pdf
26100682,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100682.pdf
26100688,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100688.pdf
26100690,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100690.pdf
26100692,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100692.pdf
26100693,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100693.pdf
26100694,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100694.pdf
26100695,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100695.pdf
26100697,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100697.pdf
26100699,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100699.pdf
26100705,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100705.pdf
26100708,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100708.pdf
26100709,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100709.pdf
26100721,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100721.pdf
26100723,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100723.pdf
26100724,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100724.pdf
26100725,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100725.pdf
26100726,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100726.pdf
26100727,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100727.pdf
26100728,UNTRACKED_PDF,NO,YES,NO,\\192.168.1.4\B1_Shr\Attachments\Acknowledged Deliveries\2026\AUGUST\26100728.pdf
