Document_ID,Status,In_SAP,In_PDF,Is_Duplicate,File_Path
26202359,MISSING_PDF,YES,NO,NO,
26202360,MISSING_PDF,YES,NO,NO,
26202361,MISSING_PDF,YES,NO,NO,
26202362,MISSING_PDF,YES,NO,NO,
26202364,MISSING_PDF,YES,NO,NO,
26202367,MISSING_PDF,YES,NO,NO,
26202368,MISSING_PDF,YES,NO,NO,
26202369,MISSING_PDF,YES,NO,NO,
26202370,MISSING_PDF,YES,NO,NO,
26202372,MISSING_PDF,YES,NO,NO,
26202373,MISSING_PDF,YES,NO,NO,
26202378,MISSING_PDF,YES,NO,NO,
26202380,MISSING_PDF,YES,NO,NO,
26202381,MISSING_PDF,YES,NO,NO,
26202384,MISSING_PDF,YES,NO,NO,
26202385,MISSING_PDF,YES,NO,NO,
26202388,MISSING_PDF,YES,NO,NO,
26202389,MISSING_PDF,YES,NO,NO,
26202392,MISSING_PDF,YES,NO,NO,
26202393,MISSING_PDF,YES,NO,NO,
26202402,MISSING_PDF,YES,NO,NO,
26202405,MISSING_PDF,YES,NO,NO,
26202407,MISSING_PDF,YES,NO,NO,
26202408,MISSING_PDF,YES,NO,NO,
26202409,MISSING_PDF,YES,NO,NO,
26202412,MISSING_PDF,YES,NO,NO,
26202415,MISSING_PDF,YES,NO,NO,
26202419,MISSING_PDF,YES,NO,NO,
26202420,MISSING_PDF,YES,NO,NO,
26202421,MISSING_PDF,YES,NO,NO,
26202422,MISSING_PDF,YES,NO,NO,
26202423,MISSING_PDF,YES,NO,NO,
26202425,MISSING_PDF,YES,NO,NO,
26202426,MISSING_PDF,YES,NO,NO,
26202437,MISSING_PDF,YES,NO,NO,
26202438,MISSING_PDF,YES,NO,NO,
26202440,MISSING_PDF,YES,NO,NO,
26202442,MISSING_PDF,YES,NO,NO,
26202444,MISSING_PDF,YES,NO,NO,
26202445,MISSING_PDF,YES,NO,NO,
26202447,MISSING_PDF,YES,NO,NO,
26202449,MISSING_PDF,YES,NO,NO,
26202450,MISSING_PDF,YES,NO,NO,
26202461,MISSING_PDF,YES,NO,NO,
26202462,MISSING_PDF,YES,NO,NO,
26202463,MISSING_PDF,YES,NO,NO,
26202465,MISSING_PDF,YES,NO,NO,
26202469,MISSING_PDF,YES,NO,NO,
26202470,MISSING_PDF,YES,NO,NO,
26202471,MISSING_PDF,YES,NO,NO,
26202472,MISSING_PDF,YES,NO,NO,
26202473,MISSING_PDF,YES,NO,NO,
26202474,MISSING_PDF,YES,NO,NO,
26202482,MISSING_PDF,YES,NO,NO,
26202487,MISSING_PDF,YES,NO,NO,
26202488,MISSING_PDF,YES,NO,NO,
26202489,MISSING_PDF,YES,NO,NO,
26202492,MISSING_PDF,YES,NO,NO,
26202493,MISSING_PDF,YES,NO,NO,
26202494,MISSING_PDF,YES,NO,NO,
26202514,MISSING_PDF,YES,NO,NO,
26202516,MISSING_PDF,YES,NO,NO,
26202517,MISSING_PDF,YES,NO,NO,
26202522,MISSING_PDF,YES,NO,NO,
26202525,MISSING_PDF,YES,NO,NO,
26202534,MISSING_PDF,YES,NO,NO,
26202541,MISSING_PDF,YES,NO,NO,
26202553,MISSING_PDF,YES,NO,NO,
26202554,MISSING_PDF,YES,NO,NO,
26202557,MISSING_PDF,YES,NO,NO,
26202558,MISSING_PDF,YES,NO,NO,
26202559,MISSING_PDF,YES,NO,NO,
26202560,MISSING_PDF,YES,NO,NO,
26202561,MISSING_PDF,YES,NO,NO,
26202562,MISSING_PDF,YES,NO,NO,
26202563,MISSING_PDF,YES,NO,NO,
26202564,MISSING_PDF,YES,NO,NO,
26202565,MISSING_PDF,YES,NO,NO,
26202566,MISSING_PDF,YES,NO,NO,
26202567,MISSING_PDF,YES,NO,NO,
26202578,MISSING_PDF,YES,NO,NO,
26202584,MISSING_PDF,YES,NO,NO,
26202612,MISSING_PDF,YES,NO,NO,
26202624,MISSING_PDF,YES,NO,NO,
26202627,MISSING_PDF,YES,NO,NO,
26202644,MISSING_PDF,YES,NO,NO,
26202661,MISSING_PDF,YES,NO,NO,
26202673,MISSING_PDF,YES,NO,NO,
26202675,MISSING_PDF,YES,NO,NO,
26202680,MISSING_PDF,YES,NO,NO,
26202681,MISSING_PDF,YES,NO,NO,
26202682,MISSING_PDF,YES,NO,NO,
26202683,MISSING_PDF,YES,NO,NO,
26202686,MISSING_PDF,YES,NO,NO,
26202687,MISSING_PDF,YES,NO,NO,
26202697,MISSING_PDF,YES,NO,NO,
26202701,MISSING_PDF,YES,NO,NO,
26202706,MISSING_PDF,YES,NO,NO,
26202713,MISSING_PDF,YES,NO,NO,
26202730,MISSING_PDF,YES,NO,NO,
26202758,MISSING_PDF,YES,NO,NO,
26202760,MISSING_PDF,YES,NO,NO,
26202813,MISSING_PDF,YES,NO,NO,
26202814,MISSING_PDF,YES,NO,NO,
26202838,MISSING_PDF,YES,NO,NO,
26202856,MISSING_PDF,YES,NO,NO,
26202860,MISSING_PDF,YES,NO,NO,
26202861,MISSING_PDF,YES,NO,NO,
26202862,MISSING_PDF,YES,NO,NO,
26202863,MISSING_PDF,YES,NO,NO,
26202882,MISSING_PDF,YES,NO,NO,
26202886,MISSING_PDF,YES,NO,NO,
26202890,MISSING_PDF,YES,NO,NO,
26202904,MISSING_PDF,YES,NO,NO,
26202914,MISSING_PDF,YES,NO,NO,
26202915,MISSING_PDF,YES,NO,NO,
26202917,MISSING_PDF,YES,NO,NO,
26202920,MISSING_PDF,YES,NO,NO,
26202937,MISSING_PDF,YES,NO,NO,
26202946,MISSING_PDF,YES,NO,NO,
26202948,MISSING_PDF,YES,NO,NO,
26202956,MISSING_PDF,YES,NO,NO,
26202957,MISSING_PDF,YES,NO,NO,
26202958,MISSING_PDF,YES,NO,NO,
26202960,MISSING_PDF,YES,NO,NO,
26202982,MISSING_PDF,YES,NO,NO,
26203000,MISSING_PDF,YES,NO,NO,
26203006,MISSING_PDF,YES,NO,NO,
26203009,MISSING_PDF,YES,NO,NO,
26203011,MISSING_PDF,YES,NO,NO,
26203013,MISSING_PDF,YES,NO,NO,
26203017,MISSING_PDF,YES,NO,NO,
26203018,MISSING_PDF,YES,NO,NO,
26203024,MISSING_PDF,YES,NO,NO,
26203040,MISSING_PDF,YES,NO,NO,
26203041,MISSING_PDF,YES,NO,NO,
26203048,MISSING_PDF,YES,NO,NO,
26203061,MISSING_PDF,YES,NO,NO,
26203062,MISSING_PDF,YES,NO,NO,
26203069,MISSING_PDF,YES,NO,NO,
26203072,MISSING_PDF,YES,NO,NO,
26203076,MISSING_PDF,YES,NO,NO,
26203077,MISSING_PDF,YES,NO,NO,
26203081,MISSING_PDF,YES,NO,NO,
26203089,MISSING_PDF,YES,NO,NO,
26203091,MISSING_PDF,YES,NO,NO,
26203098,MISSING_PDF,YES,NO,NO,
26203099,MISSING_PDF,YES,NO,NO,
26203101,MISSING_PDF,YES,NO,NO,
26203102,MISSING_PDF,YES,NO,NO,
26203103,MISSING_PDF,YES,NO,NO,
26203105,MISSING_PDF,YES,NO,NO,
26203107,MISSING_PDF,YES,NO,NO,
26203118,MISSING_PDF,YES,NO,NO,
26203130,MISSING_PDF,YES,NO,NO,
26203136,MISSING_PDF,YES,NO,NO,
26203138,MISSING_PDF,YES,NO,NO,
26203139,MISSING_PDF,YES,NO,NO,
26203141,MISSING_PDF,YES,NO,NO,
26203146,MISSING_PDF,YES,NO,NO,
26203150,MISSING_PDF,YES,NO,NO,
26203151,MISSING_PDF,YES,NO,NO,
26203152,MISSING_PDF,YES,NO,NO,
26203154,MISSING_PDF,YES,NO,NO,
26203155,MISSING_PDF,YES,NO,NO,
26203160,MISSING_PDF,YES,NO,NO,
26203168,MISSING_PDF,YES,NO,NO,
26203170,MISSING_PDF,YES,NO,NO,
26203171,MISSING_PDF,YES,NO,NO,
26203193,MISSING_PDF,YES,NO,NO,
26203199,MISSING_PDF,YES,NO,NO,
26203200,MISSING_PDF,YES,NO,NO,
26203201,MISSING_PDF,YES,NO,NO,
26203220,MISSING_PDF,YES,NO,NO,
26203243,MISSING_PDF,YES,NO,NO,
26203249,MISSING_PDF,YES,NO,NO,
26203250,MISSING_PDF,YES,NO,NO,
26203251,MISSING_PDF,YES,NO,NO,
26203256,MISSING_PDF,YES,NO,NO,
26203257,MISSING_PDF,YES,NO,NO,
26203258,MISSING_PDF,YES,NO,NO,
26203259,MISSING_PDF,YES,NO,NO,
26203261,MISSING_PDF,YES,NO,NO,
26203262,MISSING_PDF,YES,NO,NO,
26203263,MISSING_PDF,YES,NO,NO,
26203264,MISSING_PDF,YES,NO,NO,
26203266,MISSING_PDF,YES,NO,NO,
26203269,MISSING_PDF,YES,NO,NO,
26203270,MISSING_PDF,YES,NO,NO,
26203271,MISSING_PDF,YES,NO,NO,
26203272,MISSING_PDF,YES,NO,NO,
26203273,MISSING_PDF,YES,NO,NO,
26203274,MISSING_PDF,YES,NO,NO,
26203275,MISSING_PDF,YES,NO,NO,
26203277,MISSING_PDF,YES,NO,NO,
26203278,MISSING_PDF,YES,NO,NO,
26203280,MISSING_PDF,YES,NO,NO,
26203286,MISSING_PDF,YES,NO,NO,
26203287,MISSING_PDF,YES,NO,NO,
26203288,MISSING_PDF,YES,NO,NO,
26203291,MISSING_PDF,YES,NO,NO,
26203297,MISSING_PDF,YES,NO,NO,
26203298,MISSING_PDF,YES,NO,NO,
26203299,MISSING_PDF,YES,NO,NO,
26203300,MISSING_PDF,YES,NO,NO,
26203301,MISSING_PDF,YES,NO,NO,
26203306,MISSING_PDF,YES,NO,NO,
26203308,MISSING_PDF,YES,NO,NO,
26203311,MISSING_PDF,YES,NO,NO,
26203313,MISSING_PDF,YES,NO,NO,
26203314,MISSING_PDF,YES,NO,NO,
26203315,MISSING_PDF,YES,NO,NO,
26203321,MISSING_PDF,YES,NO,NO,
26203327,MISSING_PDF,YES,NO,NO,
26203328,MISSING_PDF,YES,NO,NO,
26203329,MISSING_PDF,YES,NO,NO,
26203330,MISSING_PDF,YES,NO,NO,
26203331,MISSING_PDF,YES,NO,NO,
26203332,MISSING_PDF,YES,NO,NO,
26203333,MISSING_PDF,YES,NO,NO,
26203334,MISSING_PDF,YES,NO,NO,
26203335,MISSING_PDF,YES,NO,NO,
26203336,MISSING_PDF,YES,NO,NO,
26203337,MISSING_PDF,YES,NO,NO,
26203338,MISSING_PDF,YES,NO,NO,
26203339,MISSING_PDF,YES,NO,NO,
26203340,MISSING_PDF,YES,NO,NO,
26203341,MISSING_PDF,YES,NO,NO,
26203342,MISSING_PDF,YES,NO,NO,
26203343,MISSING_PDF,YES,NO,NO,
26203344,MISSING_PDF,YES,NO,NO,
26203345,MISSING_PDF,YES,NO,NO,
26203346,MISSING_PDF,YES,NO,NO,
26203347,MISSING_PDF,YES,NO,NO,
26203348,MISSING_PDF,YES,NO,NO,
26203349,MISSING_PDF,YES,NO,NO,
26203350,MISSING_PDF,YES,NO,NO,
26203351,MISSING_PDF,YES,NO,NO,
26203352,MISSING_PDF,YES,NO,NO,
26203354,MISSING_PDF,YES,NO,NO,
26203355,MISSING_PDF,YES,NO,NO,
26203360,MISSING_PDF,YES,NO,NO,
26203361,MISSING_PDF,YES,NO,NO,
26203370,MISSING_PDF,YES,NO,NO,
26203371,MISSING_PDF,YES,NO,NO,
26203373,MISSING_PDF,YES,NO,NO,
26203376,MISSING_PDF,YES,NO,NO,
26203383,MISSING_PDF,YES,NO,NO,
26203384,MISSING_PDF,YES,NO,NO,
26203385,MISSING_PDF,YES,NO,NO,
26203387,MISSING_PDF,YES,NO,NO,
26203389,MISSING_PDF,YES,NO,NO,
26203391,MISSING_PDF,YES,NO,NO,
